YYYY-MM-DD,hh:mm,Original,Calculated,Flag
1980-04-01,--:--,-999,4.347,100
1980-05-01,--:--,-999,1.493,100
1980-06-01,--:--,-999,0.058,100
1980-07-01,--:--,-999,0.048,100
1980-08-01,--:--,-999,0.023,100
1980-09-01,--:--,-999,0.019,100
1980-10-01,--:--,-999,0.341,100
1980-11-01,--:--,-999,0.34,100
1980-12-01,--:--,-999,0.743,100
1981-01-01,--:--,-999,0.62,100
1981-02-01,--:--,-999,0.824,100
1981-03-01,--:--,-999,1.43,100
1981-04-01,--:--,-999,0.625,100
1981-05-01,--:--,-999,0.385,100
1981-06-01,--:--,-999,0.092,100
1981-07-01,--:--,-999,0,100
1981-08-01,--:--,-999,0,100
1981-09-01,--:--,-999,0,100
1981-10-01,--:--,-999,0,100
1981-11-01,--:--,-999,0.097,100
1981-12-01,--:--,-999,0.266,100
1982-01-01,--:--,-999,2.343,100
1982-02-01,--:--,-999,1.74,100
1982-03-01,--:--,-999,6.054,100
1982-04-01,--:--,-999,2.123,100
1982-05-01,--:--,-999,0.597,100
1982-06-01,--:--,-999,0.34,100
1982-07-01,--:--,-999,0.171,100
1982-08-01,--:--,-999,0,100
1982-09-01,--:--,-999,0,100
1982-10-01,--:--,-999,0.063,100
1982-11-01,--:--,-999,1.389,100
1982-12-01,--:--,-999,1.727,100
1983-01-01,--:--,-999,2.835,100
1983-02-01,--:--,-999,6.113,100
1983-03-01,--:--,-999,22.574,100
1983-04-01,--:--,-999,5.707,100
1983-05-01,--:--,-999,2.522,100
1983-06-01,--:--,-999,0.843,100
1983-07-01,--:--,-999,0.274,100
1983-08-01,--:--,-999,0.894,100
1983-09-01,--:--,-999,0.119,100
1983-10-01,--:--,-999,1.113,100
1983-11-01,--:--,-999,1.755,100
1983-12-01,--:--,-999,3.498,100
1984-01-01,--:--,-999,0.993,100
1984-02-01,--:--,-999,0.604,100
